codigo_consejera,nombre_consejera,codigo_zona,monto_facturado,monto_cod,nombre,descripcion,cantidad,cajas,descripcion_razon,direccion1,direccion2,codigo_razon,codigo_piloto,razon,liquidada,seccion,direccion3,telefono_consejera,enrutado,los_real,credit_check,los,monto_extrafin,monto_convenio_pago,monto_vea,telefono_celular,valor_aj,clave
181535,Juliet,202,576,40,Jaime,Luke,87,20,Denise,Ap #822-2122 Scelerisque Ave,474-2354 Arcu. St.,71,69,21,Meghan,98,108 Nisi Rd.,1650-3664,89,51,3,8,9,5,7,7493-7813,4,
29078,Illiana,202,390,45,Nathan,Leo,1,22,Abraham,"P.O. Box 134, 2824 Nibh. St.","421-1486 Ante, Street",41,63,76,Christen,77,Ap #671-4776 Tincidunt Street,4818-8856,82,76,10,9,3,2,7,3934-7245,7,
22852,Taylor,202,1396,95,Edward,Sandra,70,18,Xantha,351-9918 Tortor Road,8977 Ac Rd.,93,66,61,Cassandra,37,202-537 Netus Rd.,6629-7983,92,66,5,6,5,8,8,7077-8504,1,
44791,Tanisha,202,1075,47,Branden,Veronica,31,68,Colette,7672 Ornare Av.,"P.O. Box 382, 610 Donec Street",10,44,57,Zachery,12,Ap #163-8760 Risus. Street,5668-7725,21,24,5,1,4,6,9,1231-8215,2,
42547,Sara,202,1470,76,Garth,Dorothy,83,56,Herrod,198 Primis Rd.,Ap #843-4087 Sit St.,83,42,50,Phoebe,41,Ap #976-1271 Aenean Avenue,4080-3203,53,3,3,10,8,8,10,7267-0266,1,
158429,Rylee,202,1786,49,Nero,Hannah,23,57,John,"P.O. Box 189, 6867 Odio St.",946-4675 Felis. Ave,75,11,100,Slade,83,Ap #811-9213 Nisi St.,7687-5333,61,96,8,6,8,8,6,3041-0153,6,
163678,Jade,202,451,40,Lewis,Rhonda,5,78,Barrett,9910 Diam Avenue,419-9019 Hendrerit Road,74,66,74,Karly,55,624-1806 Purus. Street,3894-4914,69,57,2,8,5,2,6,3123-3835,6,
52948,Alexis,202,605,70,Ava,Sheila,56,16,Reuben,328-6936 Aptent Rd.,"P.O. Box 733, 2510 Aliquam Street",18,62,66,Eleanor,39,Ap #679-6833 Morbi St.,9317-8869,96,2,1,9,10,1,3,9147-2198,8,
25560,Molly,202,504,30,Kimberly,Ivory,58,10,Kenneth,"4688 Est, Rd.",Ap #129-1963 Enim. St.,68,71,90,Mufutau,11,864-2038 Mi. Avenue,9472-7016,61,87,4,7,8,2,7,2502-8234,10,
48726,Patience,202,1649,86,Darrel,Kermit,38,96,Kennedy,8755 Adipiscing St.,8100 Ipsum St.,80,42,45,Chaney,87,398-2020 Nisl. Street,9986-0659,88,37,6,4,7,10,5,8714-5660,7,
72898,Donna,202,1739,56,Tatiana,Noel,15,87,Kelsey,907-3814 Luctus St.,Ap #417-3122 Felis. Av.,7,43,13,Lillian,51,406-8572 Dolor Street,4394-0603,61,29,1,5,1,3,6,1216-7670,10,
52417,Charissa,202,575,73,Georgia,Sydney,18,21,Madaline,424-3454 Egestas. Street,943-6977 Vivamus St.,8,73,89,Amity,79,Ap #899-1772 Tincidunt St.,1341-3208,72,64,4,7,10,3,2,9488-1400,6,
67649,Lara,202,1879,76,Nita,Hadassah,30,55,Carol,"P.O. Box 549, 3372 Mollis. Road",354-654 Magna Ave,27,44,60,Cheryl,57,"P.O. Box 410, 3247 Maecenas Rd.",3845-0796,4,73,9,5,6,3,1,5470-1925,6,
17355,Sigourney,202,1019,83,Ronan,Damian,61,33,Libby,"P.O. Box 112, 2153 Libero Rd.",717-9535 Ligula. St.,80,54,4,Dennis,42,9687 Odio Rd.,8347-0693,8,41,4,6,3,2,2,2035-4617,8,
117640,Kessie,202,612,2,Tanek,Callie,22,61,Aquila,351 Dui. Rd.,Ap #796-7139 Neque St.,9,21,22,Lane,84,8707 Euismod Road,4744-5304,94,10,9,2,7,4,2,4977-9828,1,
97879,Jessica,202,1206,16,Kimberly,Winifred,98,70,Hannah,8442 Risus. St.,Ap #149-8583 Magna Rd.,10,83,61,Idola,8,Ap #555-9368 Enim St.,3839-1712,20,74,3,7,8,2,6,7203-8585,9,
167465,Kelsie,202,396,98,Mariam,Bryar,55,57,Ivan,"4299 Ut, Ave","P.O. Box 173, 267 Amet St.",11,45,91,Tad,76,Ap #796-7980 Amet St.,1267-8518,12,70,3,3,6,10,5,8768-0363,3,
22985,Lilah,202,263,17,Audrey,Leonard,53,86,Levi,Ap #717-6748 Nam Street,"P.O. Box 312, 6267 Aliquam St.",40,59,86,Wynter,73,"P.O. Box 256, 9771 Id Av.",3885-7717,98,4,9,8,3,9,2,3670-7713,4,
35109,Kimberly,202,213,58,Veronica,Odette,98,46,Fulton,956-5637 Tellus. St.,Ap #938-3239 Neque Rd.,57,67,78,Elliott,98,Ap #560-3456 Magna. Rd.,7169-6345,45,80,10,2,1,7,7,3107-1679,3,
50439,Suki,202,1529,49,Karleigh,Ruby,67,82,Thor,560-1983 Lorem St.,399-2658 At Street,27,29,95,Delilah,82,9452 Velit Av.,5494-4993,33,25,5,5,7,5,10,1467-1116,8,
44648,Courtney,202,550,43,Perry,Joel,65,63,Peter,"Ap #948-4953 Pede, Rd.",4449 Curabitur Street,4,67,96,Hayley,44,124 Pellentesque Av.,3275-2113,32,76,6,6,4,9,4,7712-3838,4,
143256,Libby,202,1387,30,Orlando,Chastity,80,6,Kelsie,"5411 At, Ave",Ap #479-8773 Fusce Avenue,3,37,78,Mia,22,108-3230 Duis Avenue,3425-8321,100,78,8,1,9,7,8,6475-3153,2,
169223,Jaime,202,205,7,Judith,Raya,21,72,Samuel,"P.O. Box 626, 6782 Orci. Avenue",3405 Taciti St.,80,20,74,Shay,48,"P.O. Box 187, 2481 Orci Street",2110-9994,9,99,7,2,8,3,1,8795-2429,10,
93071,Naomi,202,1116,72,Brenden,Daphne,4,2,Ramona,374-8309 Varius St.,7342 Velit. Av.,38,20,23,Bevis,64,"260-7607 Elit, Av.",8802-1554,67,23,3,7,8,1,6,3047-0234,1,
111426,Noelani,202,1445,67,Cheyenne,Grady,64,93,Paula,Ap #104-6933 Dui St.,9907 Congue. Rd.,83,57,3,Scott,10,"P.O. Box 251, 3983 Ornare, St.",4915-8705,43,17,4,4,3,4,1,3028-0868,6,
15955,Jasmine,202,1003,2,Macey,Noble,26,18,Anastasia,"P.O. Box 334, 1489 Pharetra. Street","P.O. Box 693, 3222 Eu, Road",53,62,62,Geraldine,21,Ap #646-7364 Commodo Av.,2086-8748,51,55,5,8,1,6,10,8626-7732,5,
115841,Cathleen,202,1726,33,Jennifer,Ursula,41,10,Kim,7535 Ante. Street,688-5267 Nullam Road,94,85,49,Branden,38,3451 Praesent Rd.,4768-1244,21,94,5,4,8,7,2,6927-3273,10,
89530,Yetta,202,1466,29,Ian,Sophia,61,72,Zia,Ap #793-1723 Felis. Avenue,Ap #792-8466 Arcu Rd.,36,57,57,Kelly,43,Ap #642-7933 Vivamus St.,3939-7694,24,1,6,6,9,8,3,6022-4661,2,
30481,Alice,202,818,79,Laura,Kirk,74,16,Quintessa,"P.O. Box 593, 6512 Ut Road",5349 Mi Avenue,97,5,65,Marshall,65,Ap #974-1458 Lorem. Avenue,2329-9219,72,12,3,8,8,4,9,2816-2471,6,
25356,Harriet,202,1012,54,Yvonne,Norman,70,54,Cameron,Ap #189-3256 Sit Rd.,1787 Sem Street,79,39,12,Gillian,28,Ap #750-4787 Nam Ave,2202-5368,5,93,10,4,3,3,8,4367-5359,2,
80270,Kalia,202,1171,10,Fuller,Dante,91,38,Lydia,"9076 Et, St.",4142 Maecenas St.,82,81,16,Kato,69,321-9819 Adipiscing Av.,8537-8134,70,77,5,3,7,3,3,1989-2219,6,
152592,Odessa,202,322,96,Sarah,Zenaida,49,33,Vielka,1357 Neque Av.,5925 Nec Avenue,53,96,58,Carla,52,"P.O. Box 139, 4134 Cursus Rd.",6777-5595,69,90,7,1,3,2,3,1130-2233,4,
68235,Rosalyn,202,1253,80,Hollee,Kyra,11,32,Boris,"P.O. Box 136, 4178 Eu Street",5008 Erat St.,11,98,66,Igor,68,Ap #436-2946 Magna. St.,8172-2297,1,24,7,6,2,6,6,9113-3481,3,
99836,Tatum,202,596,20,Holly,Tanner,31,34,Kessie,Ap #980-4875 Varius Avenue,"P.O. Box 635, 881 Tellus Ave",47,42,33,Octavia,55,"P.O. Box 629, 8102 Proin St.",9226-9037,94,33,2,10,3,2,5,2290-7450,9,
154951,Nora,202,1806,1,Hashim,Lacota,42,28,Calvin,Ap #127-1055 Curabitur Rd.,"P.O. Box 592, 323 Pede Rd.",91,99,54,Martena,53,"P.O. Box 215, 5304 Duis Street",5246-9817,38,17,3,10,6,7,6,5854-7832,6,
64146,Dahlia,202,663,62,Uriah,Dahlia,47,95,Zahir,"P.O. Box 308, 5642 Hymenaeos. Rd.",8589 Ut St.,63,42,21,Colette,88,"P.O. Box 254, 3247 Etiam Avenue",3676-2551,76,17,6,1,2,1,6,9108-8237,2,
83375,Idola,202,1298,57,Curran,Mercedes,92,31,Hilary,257-4860 Vulputate Street,Ap #176-8388 Mus. Av.,65,4,73,Plato,32,Ap #489-8912 In Avenue,1665-0472,38,50,5,9,4,10,4,5924-5989,2,
80486,Kiona,202,449,89,Chantale,Cherokee,6,61,Lucy,"P.O. Box 669, 8824 Molestie St.","P.O. Box 679, 9394 Urna Road",66,16,10,Nyssa,15,404-6278 Gravida Ave,3385-2955,79,32,10,8,1,7,10,4959-2979,2,
132270,Yolanda,202,1276,30,Brady,Alden,15,81,Keiko,5178 Ut Ave,490-5357 Sapien. St.,99,17,65,Virginia,42,Ap #464-7937 Nisl. Rd.,3640-7162,48,73,4,7,3,7,2,5264-8294,2,
91411,Chelsea,202,675,7,Remedios,Wilma,99,36,Joel,Ap #378-3709 Neque. Ave,6926 Risus. Street,31,10,4,Perry,55,Ap #713-6617 Sociis Avenue,6840-0089,26,53,10,3,10,10,10,3497-5271,6,
34722,Lara,202,1571,60,Armando,Yoko,70,73,Montana,875-4397 Dui. Av.,"P.O. Box 750, 6277 Nec Rd.",6,57,89,Pearl,60,Ap #109-4182 Lectus Avenue,6060-8597,19,99,10,6,6,2,3,7117-0577,7,
105431,Yvonne,202,1882,87,Calvin,Michelle,86,25,Kennedy,1352 Pede. Rd.,687-5503 Lacus. Road,49,44,24,Caldwell,49,873-3301 Placerat Street,2495-5096,46,29,1,4,4,9,4,6347-5619,8,
47791,Francesca,202,696,100,Barclay,Roanna,40,72,Clare,3356 Arcu. Rd.,828-1520 Sed St.,43,65,77,Kadeem,51,985-7513 Dictum Rd.,4948-0633,68,69,3,1,5,5,1,6381-9782,10,
46679,Alika,202,579,78,Octavius,Clarke,97,63,Madeline,"P.O. Box 507, 2860 Dui Street","3913 Orci, Rd.",34,100,14,Remedios,46,3005 Ac Av.,5193-3415,76,66,1,5,3,1,8,8066-3840,7,
86676,Ella,202,894,2,Kendall,Nissim,82,25,Hanna,"P.O. Box 694, 3255 Nunc Rd.",1428 Est Avenue,77,33,97,Laura,16,"P.O. Box 841, 9455 Aliquam St.",4523-6112,45,59,7,4,3,1,9,8032-7391,9,
134648,Brielle,202,1113,52,Heidi,Vaughan,53,39,Sara,5197 Mauris Rd.,684-8468 Quisque St.,53,40,83,Hasad,58,Ap #707-5200 Massa St.,4373-2717,45,53,1,4,10,7,5,1429-2628,3,
66168,Farrah,202,969,45,Alexis,Suki,91,20,Dennis,"1188 Montes, Ave",1468 Vitae Av.,17,90,85,Tanner,68,Ap #783-2328 Ac St.,9014-5995,52,48,2,6,2,2,5,7890-9211,7,
169620,Eliana,202,1681,95,Donovan,Nicole,59,56,Quincy,"P.O. Box 253, 9957 Sed Road",4831 Parturient Rd.,80,5,25,Hilda,93,377-2893 Nam St.,4908-3750,37,32,1,9,9,8,5,7894-4993,5,
78815,Lani,202,1027,2,Phyllis,Claire,90,46,Lila,183-7111 Vel Rd.,"P.O. Box 551, 9423 Senectus Rd.",68,13,53,Warren,20,1098 Lorem Rd.,4573-1523,27,89,3,3,1,9,2,4442-1610,3,
75999,Ignacia,202,588,35,Liberty,Vincent,19,59,Barbara,8704 Mauris Road,"P.O. Box 679, 8496 Dolor, Road",92,43,13,Signe,30,1018 Justo Av.,2953-6106,74,30,4,3,10,9,2,4743-6124,10,
101311,Ursa,202,1102,25,Demetrius,Lael,95,63,Aidan,"P.O. Box 848, 4765 Tempor Rd.","P.O. Box 902, 8956 Tempus Av.",89,77,4,Donna,59,"P.O. Box 711, 2531 Mi Road",6875-1477,44,24,10,9,10,3,5,5186-9054,4,
56185,Roanna,202,1101,88,Ila,Callum,83,4,Tobias,"Ap #956-5199 Erat, Av.",Ap #439-3610 Donec Rd.,63,1,82,Paula,61,"P.O. Box 385, 1333 Nunc Ave",7221-8517,90,78,9,9,3,8,9,7570-1847,7,
133279,Quincy,202,784,80,Sandra,Debra,55,84,Silas,1087 Nec Rd.,Ap #500-9354 Lobortis Avenue,54,99,63,Colin,49,"P.O. Box 820, 6102 Vitae, Avenue",6331-8859,67,81,5,6,10,7,8,1483-3084,3,
101234,Patience,202,1430,54,William,Sylvester,21,34,Alexis,Ap #707-1566 Nulla Rd.,Ap #856-1408 Diam. Ave,62,49,22,Harlan,30,"P.O. Box 758, 7149 Mauris Ave",8679-3263,61,81,5,10,4,5,7,9525-5078,7,
119534,Shay,202,384,71,Mariko,Violet,25,37,Mannix,Ap #530-398 Tempor St.,6024 Dui. St.,52,36,55,Magee,78,Ap #612-408 Fringilla Rd.,4147-7495,82,62,1,8,9,10,3,1915-3248,3,
60340,Nayda,202,275,34,Acton,Darryl,5,64,Craig,Ap #218-3232 Fermentum Avenue,"P.O. Box 636, 1278 Porttitor Ave",70,41,82,Amanda,98,"P.O. Box 179, 9559 Habitant Rd.",5591-1186,23,30,1,3,8,3,3,5562-2987,5,
29369,Kellie,202,641,64,Maryam,Rogan,5,51,Cora,"8451 Non, Rd.",Ap #337-3486 Dolor. Rd.,51,90,94,Cole,23,"683 Auctor, St.",5982-1179,89,91,6,6,7,9,3,9027-5896,2,
23299,Zenia,202,1716,31,Shelley,Kenneth,89,84,Charlotte,"P.O. Box 988, 2141 Nulla. Avenue",844-3121 Ipsum. Rd.,82,67,51,Drake,91,7478 Integer Ave,6780-0291,19,94,2,8,9,1,1,5522-6159,6,
82090,Yvette,202,1480,30,Deacon,Odysseus,82,16,Zenaida,5812 Feugiat Street,457-746 Risus. Rd.,38,28,70,Brenda,49,"P.O. Box 187, 4246 Orci, St.",1710-4053,33,20,3,3,7,2,6,2934-2815,2,
90738,Jescie,202,1790,42,Hadassah,Giacomo,67,80,Roth,4941 Risus Avenue,552-4750 Augue Rd.,45,48,96,Carlos,78,"Ap #137-4239 Non, St.",7080-3955,25,96,5,7,10,9,3,3266-8577,7,
