codigo_consejera,nombre_consejera,codigo_zona,monto_facturado,monto_cod,nombre,descripcion,cantidad,cajas,descripcion_razon,direccion1,direccion2,codigo_razon,codigo_piloto,razon,liquidada,seccion,direccion3,telefono_consejera,enrutado,los_real,credit_check,los,monto_extrafin,monto_convenio_pago,monto_vea,telefono_celular,valor_aj,clave
1754,"P.O. Box 899, 9874 Erat Avenue",213,6,79,Carla,Lionel,13,83,Joshua,Lucy,Reece,82,3,44,Charlotte,62,Upton,7793-3358,40,97,2,9,7,9,7,2844-7512,1,
1213,Ap #820-7095 Enim. Ave,207,65,81,Brett,Isabelle,97,84,Dorothy,Fredericka,Shannon,49,69,71,Rhoda,68,Shelby,2630-3832,88,68,7,8,1,3,1,4331-4149,6,
2343,565-351 Purus. Rd.,216,75,93,Keelie,Pascale,3,39,Driscoll,Tanisha,Mollie,21,2,4,Petra,10,Jillian,9659-1502,43,95,1,4,8,9,1,8839-8361,2,
2235,"P.O. Box 403, 1491 At, Rd.",233,37,17,Leigh,Ivy,18,42,Courtney,Candace,Logan,39,36,84,Britanni,100,Davis,1484-0098,93,86,4,8,4,4,4,1979-5656,7,
104,Ap #822-2299 Lectus Avenue,210,62,5,Aiko,Cyrus,62,19,Stephen,Orli,Colby,78,5,4,Jena,35,Drew,8815-9419,69,14,4,1,5,8,7,1112-1670,9,
1955,Ap #347-8578 Enim St.,220,86,5,Caldwell,Thane,53,84,Janna,Edward,Morgan,31,82,60,Carter,66,Andrew,2676-0820,73,88,2,2,1,4,2,7041-0183,2,
891,Ap #664-2368 Aliquet St.,220,8,72,Ignatius,April,73,38,Graham,Madison,Dominique,19,44,96,Yuli,89,Len,9087-5179,31,67,9,3,3,7,5,9677-8998,8,
912,"P.O. Box 628, 8839 Rutrum St.",224,99,85,Jacqueline,Stewart,100,37,Orla,Orli,Fuller,99,24,4,Alfreda,21,Imogene,6510-8211,66,36,7,10,2,7,2,4524-1733,9,
1712,682-2960 Scelerisque Rd.,210,8,29,Tanek,Violet,80,78,Germaine,Emma,Odysseus,75,86,73,Lucius,14,Neve,3112-5673,82,3,3,3,4,8,7,6625-2140,1,
766,Ap #426-6580 Dignissim Ave,214,9,43,Lacy,Sheila,29,40,Trevor,Lars,Patricia,79,90,96,May,61,Garth,7489-7740,61,21,10,2,5,2,7,1323-7402,1,
1105,6481 Mauris Street,224,90,89,Ila,Chadwick,62,74,Eleanor,Lacey,Gray,28,89,16,Kimberly,92,Fletcher,9961-9856,45,72,1,7,3,10,4,5330-9237,5,
1348,"P.O. Box 866, 145 Maecenas St.",211,4,62,Gabriel,Griffin,7,1,Charity,Kelsie,Ishmael,98,38,67,Kenyon,68,Emerson,9941-8759,12,8,10,2,4,5,8,1650-7817,5,
1487,827-6277 Adipiscing Rd.,201,92,100,Dai,Kiara,51,47,Callie,Nevada,Beck,26,7,85,Jonah,70,Tatum,5044-3449,49,81,6,1,7,4,3,9576-1192,1,
449,Ap #276-9973 Nullam Street,240,3,74,Willa,Mercedes,62,73,Raymond,Tallulah,Odessa,10,17,37,Steel,20,Ayanna,1102-1871,13,90,2,5,10,10,7,2518-0820,4,
1049,178-2952 Neque Avenue,209,70,15,Phillip,Tasha,55,76,Elaine,Jacqueline,Wilma,72,3,23,Xaviera,52,Olivia,9532-2988,37,64,9,3,4,10,8,1197-9859,7,
222,483-9505 Tristique Ave,219,43,72,Colorado,Lacey,6,51,Sharon,Zorita,Yoshio,52,98,100,Anne,81,Calvin,3213-1448,45,29,7,6,8,5,5,8943-2031,4,
1585,Ap #325-6324 Eros. Ave,209,74,70,Cairo,Vera,70,94,Ryan,Thane,Irene,76,50,80,Aretha,75,Laurel,8402-3189,11,95,8,2,1,6,9,7698-6190,2,
